ID_xml,ID_rec
221_2025-03-17_13-44-00,7210.0
077_2025-03-17_10-24-27,7220.0
077_2025-03-17_10-27-27,7220.0
077_2025-03-17_13-00-00,7220.0
077_2025-03-17_13-06-00,7220.0
077_2025-03-17_13-17-00,7220.0
077_2025-03-17_13-44-00,7220.0
077_2025-03-18_13-11-00,7221.0
077_2025-03-18_13-49-37,7221.0
077_2025-03-18_14-32-00,7221.0
051_2025-03-04_13-00-00,8030.0
051_2025-03-04_13-06-00,8030.0
051_2025-03-04_13-17-00,8030.0
051_2025-03-04_13-44-00,8030.0
025_2025-03-07_13-51-00,8040.0
025_2025-03-08_13-46-38,8040.0
221_2025-03-07_10-27-11,8050.0
221_2025-03-07_10-35-11,8050.0
221_2025-03-07_13-00-00,8050.0
221_2025-03-07_13-06-00,8050.0
221_2025-03-07_13-17-00,8050.0
221_2025-03-07_13-44-00,8050.0
282_2025-02-27_10-07-37,8060.0
282_2025-02-27_10-10-37,8060.0
282_2025-02-27_13-00-00,8060.0
282_2025-02-27_13-06-00,8060.0
282_2025-02-27_13-17-00,8060.0
282_2025-02-27_13-44-00,8060.0
051_2025-02-27_12-20-15,8070.0
051_2025-02-27_12-23-15,8070.0
051_2025-02-27_13-00-00,8070.0
051_2025-02-27_13-06-00,8070.0
051_2025-02-27_13-17-00,8070.0
051_2025-02-27_13-44-00,8070.0
221_2025-02-28_10-24-35,8080.0
221_2025-02-28_10-27-35,8080.0
221_2025-02-28_13-00-00,8080.0
221_2025-02-28_13-06-00,8080.0
221_2025-02-28_13-17-00,8080.0
221_2025-02-28_13-44-00,8080.0
077_2025-03-19_11-14-49,8210.0
077_2025-03-19_11-20-49,8210.0
077_2025-03-19_13-00-00,8210.0
077_2025-03-19_13-31-00,8210.0
077_2025-03-19_14-32-00,8210.0
221_2025-03-14_10-30-10,8220.0
221_2025-03-14_10-38-10,8220.0
221_2025-03-14_10-59-11,8220.0
221_2025-03-14_11-07-11,8220.0
221_2025-03-14_13-10-32,8220.0
221_2025-03-14_13-17-00,8220.0
221_2025-03-14_13-44-00,8220.0
221_2025-03-15_14-53-07,8220.0
282_2025-03-20_12-46-49,8230.0
282_2025-03-20_12-49-49,8230.0
